timestamp_ms,pid,cpu_burst_ms,ground_truth
11045269.85,27256,4.1715,LC
11045324.32,27257,31.8486,BG
11045410.54,27257,35.7996,BG
11045453.64,27255,9.6449,LC
11045489.96,27257,28.9798,BG
11045507.19,27254,8.6559,LC
11045509.93,27256,6.9167,LC
11045571.79,27255,6.54,LC
11045571.97,27257,31.7664,BG
11045641.52,27254,6.6116,LC
11045654.43,27256,7.9555,LC
11045660.35,27257,37.8673,BG
11045688.44,27255,4.153,LC
11045701.11,27254,5.7533,LC
11045728.05,27256,12.6982,LC
11045728.25,27254,5.3411,LC
11045729.24,27255,7.5826,LC
11045746.55,27257,35.5727,BG
11045771.78,27256,7.0648,LC
11045774.26,27254,6.2303,LC
11045830.16,27257,33.364,BG
11045896.97,27255,7.5102,LC
11045913.76,27257,33.298,BG
11045932.94,27256,7.9719,LC
11045943.36,27254,7.069,LC
11045997.92,27257,33.7819,BG
11046067.62,27255,12.4734,LC
11046069.24,27256,10.7756,LC
11046081.82,27257,33.5958,BG
11046129.7,27254,4.821,LC
11046156.06,27257,24.0015,BG
11046178.74,27255,7.8146,LC
11046179.56,27256,7.1873,LC
11046218.43,27254,8.5865,LC
11046226.18,27255,4.9388,LC
11046234.57,27256,3.9856,LC
11046238.99,27257,32.8475,BG
11046324.28,27257,34.8577,BG
11046332.7,27254,4.159,LC
11046334.19,27255,4.2369,LC
11046362.41,27256,10.4595,LC
11046393.63,27254,11.0569,LC
11046409.27,27257,34.6324,BG
11046430.24,27255,6.6314,LC
11046493.5,27257,32.9999,BG
11046581.35,27257,36.3834,BG
11046622.96,27256,9.4932,LC
11046629.24,27254,10.5685,LC
11046645.73,27255,5.196,LC
11046661.75,27257,30.1634,BG
11046669.95,27256,4.0949,LC
11046721.48,27254,11.2666,LC
11046722.08,27255,8.9611,LC
11046738.44,27256,6.8666,LC
11046754.18,27257,41.8109,BG
11046827.45,27257,23.0692,BG
11046839.17,27254,4.1437,LC
11046849.77,27255,4.1863,LC
11046913.13,27256,4.1362,LC
11046913.93,27257,36.2936,BG
11046997.9,27257,33.7466,BG
11047061.36,27254,6.6654,LC
11047084.37,27257,36.206,BG
11047125.17,27255,8.2225,LC
11047163.69,27257,28.9503,BG
11047187.47,27256,6.2058,LC
11047215.44,27254,11.5371,LC
11047241.67,27257,27.4995,BG
11047332.49,27257,40.3544,BG
11047367.59,27255,9.6256,LC
11047380.0,27256,6.7381,LC
11047407.4,27254,4.0659,LC
11047410.48,27257,27.508,BG
11047459.48,27255,8.2054,LC
11047487.61,27257,26.7852,BG
11047489.94,27256,4.3548,LC
11047520.55,27254,7.9882,LC
11047530.9,27255,4.941,LC
11047561.94,27257,24.1552,BG
11047587.93,27256,6.0576,LC
11047635.54,27254,6.862,LC
11047640.33,27255,5.0808,LC
11047648.96,27257,36.4915,BG
11047726.63,27257,27.4534,BG
11047734.7,27254,4.1556,LC
11047791.25,27256,4.0754,LC
11047799.64,27256,8.1227,LC
11047799.8,27254,6.5441,LC
11047808.17,27255,4.0493,LC
11047809.07,27257,32.3751,BG
11047872.95,27254,7.7498,LC
11047888.71,27257,29.1844,BG
11047970.59,27257,31.6302,BG
11048047.34,27257,26.248,BG
11048088.69,27256,4.2977,LC
11048130.75,27257,33.3095,BG
11048151.08,27255,6.0794,LC
11048211.04,27257,30.0755,BG
11048222.24,27254,4.4723,LC
11048279.16,27256,5.9007,LC
11048296.27,27257,34.6698,BG
11048333.15,27255,4.121,LC
11048345.93,27254,4.0027,LC
11048372.18,27257,26.0122,BG
11048397.84,27256,8.3252,LC
11048413.0,27255,7.7625,LC
11048434.48,27254,7.4548,LC
11048453.0,27257,30.4973,BG
11048539.58,27256,6.4193,LC
11048541.32,27257,36.7953,BG
11048563.22,27255,10.0306,LC
11048578.65,27254,7.9819,LC
11048604.84,27256,12.6299,LC
11048621.15,27255,5.537,LC
11048626.66,27254,4.2096,LC
11048626.74,27256,4.11,LC
11048633.28,27257,41.074,BG
11048653.98,27255,5.4943,LC
11048662.98,27254,4.7554,LC
11048664.44,27256,4.4088,LC
