timestamp_ms,pid,cpu_burst_ms,ground_truth
3040785.37,14486,31.172,BG
3040796.06,14484,4.6027,LC
3040796.27,14483,4.0615,LC
3040806.93,14485,4.0169,LC
3040868.17,14486,32.0252,BG
3040898.71,14484,3.9223,LC
3040912.46,14483,4.2173,LC
3040948.65,14486,29.3879,BG
3040973.83,14485,4.2911,LC
3040983.5,14484,6.2547,LC
3040999.63,14483,4.3983,LC
3041056.27,14485,4.0907,LC
3041062.89,14486,52.7065,BG
3041157.22,14486,43.4911,BG
3041195.14,14484,7.4782,LC
3041266.53,14486,58.2598,BG
3041333.08,14483,5.9621,LC
3041333.7,14485,4.5121,LC
3041346.26,14484,4.0887,LC
3041365.26,14486,48.1072,BG
3041390.73,14483,6.4514,LC
3041393.26,14485,4.9243,LC
3041434.11,14484,3.9731,LC
3041445.19,14483,3.9891,LC
3041461.23,14485,4.4801,LC
3041472.12,14486,53.5565,BG
3041484.91,14484,3.9222,LC
3041492.02,14483,4.1446,LC
3041499.11,14485,4.181,LC
3041506.21,14484,4.0517,LC
3041533.8,14483,10.2893,LC
3041548.01,14485,3.8296,LC
3041585.19,14486,60.7366,BG
3041610.44,14484,5.2847,LC
3041637.3,14485,9.6948,LC
3041637.38,14483,13.8556,LC
3041648.97,14484,6.5179,LC
3041649.05,14485,4.8338,LC
3041664.96,14483,4.6813,LC
3041670.26,14484,4.1035,LC
3041676.32,14485,4.1714,LC
3041701.44,14483,4.1988,LC
3041708.63,14484,4.0314,LC
3041710.22,14486,68.6536,BG
3041730.55,14483,4.3149,LC
3041733.05,14485,7.2349,LC
3041733.32,14484,6.0822,LC
3041735.81,14483,4.1945,LC
3041742.17,14485,4.1051,LC
3041746.42,14484,4.0268,LC
3041752.75,14483,4.4148,LC
3041786.34,14486,26.0758,BG
3041866.3,14485,4.1031,LC
3041870.71,14484,4.2159,LC
3041870.83,14486,31.708,BG
3041895.22,14483,6.1142,LC
3041895.37,14485,4.2526,LC
3041943.77,14484,3.9586,LC
3041955.25,14485,3.9501,LC
3041955.33,14486,34.1042,BG
3041959.03,14483,5.126,LC
3041963.13,14484,3.9211,LC
3041966.52,14485,7.2624,LC
3041967.44,14483,5.4751,LC
3041971.86,14484,3.9771,LC
3042017.16,14485,4.2244,LC
3042017.31,14483,3.9007,LC
3042023.55,14484,3.9443,LC
3042041.74,14485,4.4279,LC
3042067.52,14483,4.6255,LC
3042106.06,14484,4.4226,LC
3042114.23,14485,3.8985,LC
3042119.39,14486,97.4776,BG
3042139.95,14484,3.9393,LC
3042144.33,14483,5.696,LC
3042144.44,14485,4.7545,LC
3042153.66,14484,4.2909,LC
3042179.13,14483,6.2499,LC
3042181.33,14485,5.1611,LC
3042217.2,14484,4.035,LC
3042230.48,14486,61.0045,BG
3042238.27,14483,4.0511,LC
3042264.64,14485,4.1708,LC
3042267.05,14484,4.1494,LC
3042284.12,14483,6.2557,LC
3042286.11,14485,4.9923,LC
3042293.15,14484,4.7192,LC
3042327.28,14486,46.616,BG
3042330.85,14483,4.2276,LC
3042354.44,14485,4.0961,LC
3042354.77,14484,4.5267,LC
3042382.1,14483,4.2124,LC
3042387.19,14485,3.9711,LC
3042395.9,14484,5.0596,LC
3042413.71,14486,35.5614,BG
3042428.64,14483,5.1482,LC
3042441.83,14485,4.1362,LC
3042486.99,14486,23.0458,BG
3042496.34,14484,4.1131,LC
3042510.8,14483,4.1992,LC
3042553.1,14485,4.0479,LC
3042561.2,14486,24.0827,BG
3042581.0,14484,4.3961,LC
3042614.53,14483,5.6447,LC
3042637.46,14486,25.3225,BG
3042711.04,14486,23.402,BG
3042753.58,14485,4.4887,LC
3042764.5,14484,5.8764,LC
3042771.18,14483,4.3513,LC
3042773.22,14485,4.217,LC
3042787.6,14486,26.4007,BG
3042862.21,14486,24.4374,BG
3042911.24,14484,4.3904,LC
3042937.85,14486,25.4129,BG
3043012.11,14483,4.0883,LC
3043025.07,14485,3.8235,LC
3043076.3,14486,86.1433,BG
3043087.6,14484,4.0343,LC
3043091.38,14483,4.637,LC
3043113.15,14484,4.2373,LC
3043139.04,14485,4.0408,LC
3043139.1,14483,4.1419,LC
3043185.81,14486,56.7886,BG
3043293.88,14486,56.6066,BG
3043344.26,14484,6.8346,LC
3043394.1,14486,49.9329,BG
3043422.02,14485,5.5364,LC
3043450.12,14483,6.4968,LC
3043490.36,14486,46.1024,BG
3043528.95,14484,9.3496,LC
3043588.63,14486,47.9623,BG
3043673.45,14485,4.0715,LC
3043682.28,14483,4.1143,LC
